 z     dc
 0.000 1.674
 0.013 1.684
 0.025 1.694
 0.038 1.704
 0.051 1.715
 0.063 1.725
 0.076 1.736
 0.089 1.746
 0.101 1.757
 0.114 1.768
 0.127 1.779
 0.139 1.790
 0.152 1.801
 0.165 1.812
 0.177 1.823
 0.190 1.834
 0.203 1.846
 0.215 1.857
 0.228 1.868
 0.241 1.880
 0.253 1.892
 0.266 1.903
 0.278 1.915
 0.291 1.927
 0.304 1.939
 0.316 1.951
 0.329 1.963
 0.342 1.975
 0.354 1.987
 0.367 1.999
 0.380 2.011
 0.392 2.024
 0.405 2.036
 0.418 2.049
 0.430 2.061
 0.443 2.074
 0.456 2.086
 0.468 2.099
 0.481 2.112
 0.494 2.124
 0.506 2.137
 0.519 2.150
 0.532 2.163
 0.544 2.176
 0.557 2.189
 0.570 2.202
 0.582 2.215
 0.595 2.228
 0.608 2.241
 0.620 2.255
 0.633 2.268
 0.646 2.281
 0.658 2.295
 0.671 2.308
 0.684 2.321
 0.696 2.335
 0.709 2.348
 0.722 2.362
 0.734 2.376
 0.747 2.389
 0.759 2.403
 0.772 2.417
 0.785 2.430
 0.797 2.444
 0.810 2.458
 0.823 2.472
 0.835 2.486
 0.848 2.500
 0.861 2.513
 0.873 2.527
 0.886 2.541
 0.899 2.555
 0.911 2.569
 0.924 2.584
 0.937 2.598
 0.949 2.612
 0.962 2.626
 0.975 2.640
 0.987 2.654
 1.000 2.669
 1.001 2.700
