snapnum,a,z,Hz,lookbackTime
0,0.007813,127.0,528.57684,13.569736
1,0.012346,79.997894,266.07538,13.557567
2,0.019608,49.99959,132.93759,13.533025
3,0.032258,30.000061,63.002613,13.47858
4,0.047811,19.915688,34.91984,13.395337
5,0.051965,18.243723,30.818954,13.370483
6,0.056419,16.724525,27.244055,13.34271
7,0.061188,15.343073,24.123629,13.311735
8,0.066287,14.085914,21.396362,13.277258
9,0.071732,12.94078,19.009197,13.238953
10,0.07754,11.896569,16.916388,13.196466
11,0.083725,10.943864,15.07968,13.149447
12,0.090306,10.073462,13.464716,13.097486
13,0.097296,9.277915,12.043413,13.040198
14,0.104713,8.549912,10.790427,12.977139
15,0.112572,7.883204,9.684442,12.907867
16,0.120887,7.272188,8.707055,12.831933
17,0.129675,6.711586,7.841955,12.748837
18,0.13895,6.196833,7.075313,12.658093
19,0.148724,5.723864,6.395194,12.559215
20,0.159012,5.288833,5.790972,12.451676
21,0.169824,4.888449,5.253656,12.334988
22,0.181174,4.519556,4.775171,12.208612
23,0.19307,4.179469,4.348697,12.072073
24,0.205521,3.865683,3.968179,11.924883
25,0.218536,3.575905,3.628299,11.766562
26,0.232121,3.308098,3.324447,11.596675
27,0.24628,3.060419,3.05259,11.414832
28,0.261016,2.831182,2.809171,11.220683
29,0.27633,2.618862,2.591068,11.013937
30,0.292223,2.422044,2.395509,10.794342
31,0.308691,2.239486,2.220089,10.561769
32,0.32573,2.070027,2.062661,10.316142
33,0.343332,1.912633,1.92134,10.05751
34,0.361489,1.766336,1.794438,9.785996
35,0.380189,1.630271,1.68047,9.501856
36,0.399419,1.503636,1.578104,9.205441
37,0.419161,1.385718,1.486168,8.897264
38,0.439397,1.275846,1.403599,8.577917
39,0.460105,1.173417,1.329455,8.248128
40,0.481261,1.077875,1.262887,7.908734
41,0.502839,0.988708,1.203131,7.560657
42,0.524807,0.905463,1.149508,7.20497
43,0.547136,0.827699,1.101393,6.84273
44,0.569789,0.755036,1.058234,6.475145
45,0.59273,0.687109,1.019525,6.103412
46,0.615919,0.62359,0.984814,5.728778
47,0.639314,0.564177,0.953691,5.352498
48,0.66287,0.508591,0.925786,4.975833
49,0.686541,0.456577,0.900766,4.600005
50,0.710278,0.407899,0.878332,4.226224
51,0.734031,0.36234,0.858213,3.855633
52,0.757746,0.319703,0.840168,3.489371
53,0.781371,0.279802,0.823977,3.128455
54,0.804849,0.242469,0.809448,2.773897
55,0.828124,0.207549,0.796404,2.426614
56,0.851138,0.174898,0.784691,2.087469
57,0.873833,0.144383,0.77417,1.757249
58,0.896151,0.115883,0.764716,1.436669
59,0.918031,0.089288,0.756219,1.126425
60,0.939414,0.064493,0.748582,0.827118
61,0.960243,0.041403,0.741716,0.539272
62,0.980457,0.019933,0.735545,0.263424
63,1.0,0.0,0.73,0.0
